final_rank,rank,player_display_name,position,season,expected_season_points,age_years,wnt_bucket,retention_multiplier,exit_rate,age_cliff_factor,dynasty_utility,dynasty_utility_vbd,match_key,consensus_player_name,consensus_position,consensus_team,consensus_age,sleeper_id,consensus_value,consensus_overall_rank,consensus_position_rank,consensus_trend_30day,consensus_position_percentile,_merge,model_rank,consensus_rank_for_corr,model_rank_matched,consensus_rank_matched,rank_divergence,rank_divergence_pct,model_utility_percentile,consensus_percentile_matched,seasons_seen,alpha,blended_percentile_within,final_dynasty_value
1,5.0,Bijan Robinson,RB,2025.0,370.3559518199917,23.923340177960302,Med,0.751394357731904,0.159,1.0,234.0363163145253,123.42396890731496,bijan robinson|RB,Bijan Robinson,RB,ATL,24.6,9509,11223.0,1.0,1.0,220.0,100.0,both,5.0,1.0,5.0,1.0,-4.0,1.7,100.0,100.0,3.0,0.75,100.0,11223.0
2,1.0,Puka Nacua,WR,2025.0,380.297661328534,24.654346338124572,Med,0.8383157894736843,0.172,1.0,263.9742943106662,144.2985317223394,puka nacua|WR,Puka Nacua,WR,LAR,25.2,9493,8196.0,5.0,3.0,-251.0,98.71794871794873,both,1.0,5.0,1.0,5.0,4.0,1.7,100.0,97.91666666666666,3.0,0.75,99.47916666666666,9308.255208333308
3,11.0,Jahmyr Gibbs,RB,2025.0,354.7272227704425,23.789185489390828,Med,0.751394357731904,0.159,1.0,224.16016836156328,113.54782095435294,jahmyr gibbs|RB,Jahmyr Gibbs,RB,DET,24.4,9221,10956.0,2.0,2.0,198.0,99.03846153846155,both,11.0,2.0,11.0,2.0,-9.0,3.9,96.55172413793103,98.27586206896551,3.0,0.75,96.98275862068965,8675.586206896529
4,3.0,Jaxon Smith-Njigba,WR,2025.0,351.79684530610564,23.958932238193018,Med,0.8383157894736843,0.172,1.0,244.19115188871157,124.51538930038475,jaxon smithnjigba|WR,Jaxon Smith-Njigba,WR,SEA,24.5,9488,8653.0,4.0,2.0,34.0,99.35897435897436,both,3.0,4.0,3.0,4.0,1.0,0.4,97.91666666666666,98.95833333333334,3.0,0.75,98.17708333333334,8318.580729166675
5,10.0,Jonathan Taylor,RB,2025.0,356.1838998670838,26.954140999315538,Med,0.751394357731904,0.159,1.0,225.08067561973576,114.46832821252542,jonathan taylor|RB,Jonathan Taylor,RB,IND,27.6,6813,5748.0,16.0,7.0,221.0,94.23076923076923,both,10.0,16.0,10.0,15.0,5.0,2.2,98.27586206896551,91.37931034482759,6.0,0.75,96.55172413793102,7897.241379310302
6,2.0,Malik Nabers,WR,2025.0,231.7934444444447,22.0,Rookie,1.1439730801586347,0.051,1.0,251.64202211100454,131.96625952267772,malik nabers|WR,Malik Nabers,WR,NYG,23.1,11632,6442.0,11.0,6.0,-149.0,96.7948717948718,both,2.0,11.0,2.0,10.0,8.0,3.5,98.95833333333334,94.79166666666666,2.0,0.6,97.29166666666666,7603.03124999998
7,13.0,Amon-Ra St. Brown,WR,2025.0,318.32301560257434,26.193018480492814,Med,0.8383157894736843,0.172,1.0,220.95611398972332,101.2803514013965,amonra st brown|WR,Amon-Ra St. Brown,WR,DET,26.8,7547,7161.0,8.0,4.0,6.0,98.07692307692307,both,13.0,8.0,13.0,7.0,-6.0,2.6,95.83333333333334,96.875,5.0,0.75,96.09375,6920.703125
8,16.0,Ja'Marr Chase,WR,2025.0,312.2978203816168,25.83983572895277,Med,0.8383157894736843,0.172,1.0,216.7738725029363,97.0981099146095,jamarr chase|WR,Ja'Marr Chase,WR,CIN,26.5,7564,9950.0,3.0,1.0,153.0,100.0,both,16.0,3.0,16.0,3.0,-13.0,5.6,94.79166666666666,100.0,5.0,0.75,96.09375,6920.703125
9,23.0,Trey McBride,TE,2025.0,290.9356951336671,26.11362080766598,Med,0.7842767295597485,0.145,1.0,195.0888516453389,86.7413099898777,trey mcbride|TE,Trey McBride,TE,ARI,26.8,8130,5869.0,15.0,2.0,-29.0,98.55072463768117,both,23.0,15.0,23.0,14.0,-9.0,3.9,100.0,97.2972972972973,4.0,0.75,99.32432432432432,6618.18918918919
10,17.0,De'Von Achane,RB,2025.0,335.8456084498471,24.202600958247775,Med,0.751394357731904,0.159,1.0,212.22844851219105,101.61610110498071,devon achane|RB,De'Von Achane,RB,MIA,24.9,9226,6233.0,14.0,6.0,151.0,95.1923076923077,both,17.0,14.0,17.0,13.0,-4.0,1.7,94.82758620689656,93.10344827586206,3.0,0.75,94.39655172413794,6320.857758620689
